doc_id,customer_id,age,education,job,balance,duration,complaint,support_response,converted
0,CUST0206,29,secondary,blue-collar,1241.2,34,How can I check my credit card reward points balance?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
1,CUST0286,18,tertiary,self-employed,23210.52,230,I was charged an unexpected maintenance fee on my savings account without any prior notification.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
2,CUST0736,46,secondary,self-employed,1505.73,10,Is there a transaction limit for NEFT transfers?,Fund transfers can sometimes be delayed due to network issues (Doc-508). We are tracking the transaction reference and will credit the funds back if the transfer failed.,0
3,CUST0231,31,primary,student,28115.86,25,I was charged a late payment fee even though I paid before the due date. Please investigate.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
4,CUST0697,44,tertiary,admin.,3363.31,372,My complaint raised 10 days ago has still not been assigned a reference number.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",1
5,CUST0141,43,unknown,housemaid,-4062.28,372,Do you charge a fee for NEFT transfers done through the branch?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
6,CUST0062,38,secondary,self-employed,699.63,79,Are there any charges for using my card at international ATMs?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
7,CUST0054,47,tertiary,blue-collar,29200.08,18,Your customer care executive was rude and dismissive when I called to report a fraud.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
8,CUST0043,39,tertiary,unknown,29.88,244,What is the credit limit on a standard Visa credit card?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
9,CUST0107,63,secondary,technician,1003.0,89,My credit card was blocked without any warning while I was travelling abroad.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
10,CUST0598,28,secondary,entrepreneur,2864.08,10,The branch manager was unhelpful and refused to escalate my complaint to the regional office.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
11,CUST0198,42,primary,entrepreneur,2422.26,34,My home loan EMI was debited twice this month. I need the extra amount reversed immediately.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
12,CUST0174,44,secondary,technician,3454.81,29,What is the interest rate for a savings account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
13,CUST0282,48,tertiary,retired,23538.68,177,There is a discrepancy between my online transaction history and the physical statement I received.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
14,CUST0627,28,tertiary,admin.,10857.78,456,The e-statement email I should receive every month has not arrived for the last three months.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",1
15,CUST0628,38,unknown,management,8890.93,315,The loan repayment schedule provided at disbursement does not match the amounts being debited.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
16,CUST0186,49,tertiary,student,17386.04,158,What documents are needed to apply for a car loan?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
17,CUST0475,60,secondary,student,5462.38,109,The nominee details I submitted are not reflecting correctly in my account profile.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
18,CUST0270,42,primary,blue-collar,15412.48,192,What is the annual fee for a platinum credit card?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",1
19,CUST0727,40,secondary,services,1850.39,117,My recurring deposit matured but the interest credited is lower than the rate promised at opening.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
20,CUST0338,36,tertiary,blue-collar,2110.65,56,How can I apply for a locker facility at the branch?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
21,CUST0733,45,primary,technician,5579.54,227,Can I make a partial prepayment on my home loan without penalty?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
22,CUST0023,41,tertiary,blue-collar,2154.74,413,How is the EMI calculated for a personal loan of Rs. 5 lakhs?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
23,CUST0447,44,secondary,retired,2876.2,93,A fund transfer I initiated three days ago has not reached the beneficiary account.,Fund transfers can sometimes be delayed due to network issues (Doc-508). We are tracking the transaction reference and will credit the funds back if the transfer failed.,0
24,CUST0678,61,tertiary,technician,2526.38,368,Are there any charges for using my card at international ATMs?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
25,CUST0162,49,tertiary,services,37123.25,112,I transferred money to the wrong account by mistake. Please help me recover the funds.,Fund transfers can sometimes be delayed due to network issues (Doc-508). We are tracking the transaction reference and will credit the funds back if the transfer failed.,0
26,CUST0680,55,tertiary,technician,2624.77,102,Can I apply for a loan top-up on my existing home loan?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
27,CUST0409,41,tertiary,unknown,173.6,10,My account has been frozen due to a KYC mismatch that I have already clarified with the branch.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
28,CUST0120,49,tertiary,admin.,24179.65,237,My card was cloned and several fraudulent transactions appeared on my statement.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
